num-db,db,num-tx,num-retries,obj-write,obj-read,meta-write,meta-read
1,0,7644,1,3275,15961,2188,13352
5,0,7994,175,3574,16792,2988,14038
5,1,8001,153,3560,16728,2901,14060
5,2,8008,153,3558,16756,2906,14067
5,3,8043,149,3572,16835,2899,14130
5,4,7945,175,3555,16682,2972,13977
10,0,8155,351,3780,17190,3749,14441
10,1,8085,401,3791,17216,3927,14305
10,2,8064,393,3773,17145,3884,14259
10,3,8113,337,3736,17266,3680,14318
10,4,7994,404,3757,17010,3913,14196
10,5,8071,392,3758,17198,3884,14325
10,6,8099,380,3772,17285,3847,14322
10,7,8113,343,3761,17254,3698,14330
10,8,8043,376,3750,17162,3811,14230
10,9,8127,350,3781,17271,3727,14331
15,0,6748,351,3174,14804,3340,11908
15,1,6769,335,3176,14836,3282,11951
15,2,6867,329,3206,15062,3289,12121
15,3,6881,318,3217,15033,3246,12094
15,4,6790,343,3198,14914,3321,11971
15,5,6804,330,3187,14897,3278,12013
15,6,6846,329,3206,14889,3283,12091
15,7,6748,359,3172,14807,3382,11923
15,8,6797,331,3168,14891,3273,12022
15,9,6783,343,3168,14915,3318,11957
15,10,6790,356,3200,14846,3375,11987
15,11,6804,343,3198,14901,3331,12013
15,12,6741,355,3180,14775,3361,11904
15,13,6755,369,3185,14806,3418,11924
15,14,6881,343,3225,15052,3342,12170
20,0,5390,228,2500,12119,2465,9457
20,1,5425,237,2524,12158,2515,9509
20,2,5418,248,2526,12173,2546,9503
20,3,5376,251,2504,12053,2563,9456
20,4,5390,234,2498,12127,2491,9481
20,5,5404,237,2498,12120,2503,9482
20,6,5369,245,2499,12069,2530,9455
20,7,5348,229,2479,12061,2467,9394
20,8,5460,233,2536,12188,2498,9577
20,9,5327,278,2504,11968,2648,9371
20,10,5369,265,2514,12073,2598,9423
20,11,5481,240,2553,12300,2531,9613
20,12,5418,234,2515,12212,2492,9519
20,13,5369,241,2494,12090,2511,9452
20,14,5320,279,2491,11970,2650,9396
20,15,5432,234,2519,12237,2500,9533
20,16,5369,258,2505,12022,2578,9429
20,17,5355,259,2498,12074,2580,9419
20,18,5369,243,2498,12126,2516,9436
20,19,5390,249,2509,12144,2553,9488
25,0,4151,139,1895,9497,1761,7267
25,1,4088,157,1880,9397,1810,7174
25,2,4179,146,1917,9516,1798,7318
25,3,4109,152,1884,9429,1802,7181
25,4,4081,159,1886,9372,1831,7139
25,5,4172,153,1919,9535,1814,7301
25,6,4158,151,1908,9546,1814,7265
25,7,4221,153,1944,9699,1838,7388
25,8,4137,146,1894,9474,1785,7242
25,9,4186,147,1915,9590,1808,7342
25,10,4144,154,1908,9507,1819,7262
25,11,4067,179,1884,9364,1905,7143
25,12,4165,146,1907,9534,1794,7290
25,13,4179,152,1914,9566,1834,7348
25,14,4235,152,1935,9707,1830,7426
25,15,4130,162,1903,9548,1841,7210
25,16,4144,171,1917,9487,1896,7265
25,17,4158,132,1891,9519,1757,7277
25,18,4102,174,1902,9482,1883,7200
25,19,4123,152,1892,9464,1811,7212
25,20,4179,168,1926,9568,1899,7315
25,21,4186,153,1917,9569,1827,7340
25,22,4123,151,1879,9446,1820,7230
25,23,4081,154,1875,9390,1812,7154
25,24,4102,160,1901,9444,1822,7170
30,0,3332,85,1495,7705,1300,5799
30,1,3318,100,1504,7732,1353,5778
30,2,3360,99,1524,7809,1358,5843
30,3,3311,93,1498,7668,1320,5761
30,4,3304,100,1500,7621,1355,5755
30,5,3269,96,1484,7626,1327,5687
30,6,3262,101,1487,7626,1341,5698
30,7,3297,91,1485,7679,1314,5733
30,8,3304,101,1494,7688,1353,5763
30,9,3311,95,1501,7649,1333,5772
30,10,3332,80,1496,7693,1276,5791
30,11,3332,102,1521,7759,1370,5817
30,12,3311,85,1490,7692,1299,5765
30,13,3276,101,1492,7608,1356,5714
30,14,3311,88,1494,7703,1300,5759
30,15,3332,96,1514,7726,1339,5800
30,16,3318,95,1503,7665,1341,5769
30,17,3332,99,1517,7716,1352,5793
30,18,3290,106,1501,7659,1369,5735
30,19,3297,104,1504,7699,1362,5744
30,20,3304,102,1497,7681,1360,5775
30,21,3339,87,1505,7703,1307,5804
30,22,3311,88,1496,7700,1301,5754
30,23,3318,90,1495,7682,1317,5790
30,24,3276,102,1488,7643,1353,5703
30,25,3318,103,1513,7681,1370,5780
30,26,3311,96,1501,7661,1334,5757
30,27,3332,84,1495,7719,1288,5800
30,28,3269,96,1488,7641,1325,5699
30,29,3304,104,1501,7667,1371,5782
35,0,2779,52,1237,6496,1009,4819
35,1,2793,68,1253,6508,1073,4843
35,2,2765,72,1250,6467,1088,4819
35,3,2744,83,1249,6442,1125,4770
35,4,2807,53,1249,6564,1021,4879
35,5,2765,73,1248,6470,1087,4813
35,6,2779,75,1255,6501,1096,4825
35,7,2758,78,1254,6466,1103,4775
35,8,2744,73,1235,6425,1091,4779
35,9,2765,68,1246,6470,1072,4808
35,10,2737,78,1245,6431,1095,4763
35,11,2772,69,1252,6503,1073,4825
35,12,2786,61,1250,6506,1040,4827
35,13,2751,72,1238,6451,1079,4778
35,14,2772,66,1249,6468,1061,4827
35,15,2737,81,1237,6450,1113,4780
35,16,2793,66,1251,6525,1062,4850
35,17,2772,69,1251,6506,1072,4824
35,18,2765,83,1257,6477,1125,4805
35,19,2765,82,1250,6508,1122,4805
35,20,2758,71,1243,6455,1074,4789
35,21,2779,70,1251,6516,1075,4825
35,22,2758,72,1248,6480,1080,4784
35,23,2737,88,1246,6429,1137,4753
35,24,2779,59,1244,6489,1031,4820
35,25,2758,74,1244,6476,1096,4810
35,26,2786,64,1249,6503,1053,4843
35,27,2793,78,1261,6515,1114,4866
35,28,2751,66,1234,6420,1060,4779
35,29,2779,78,1258,6527,1113,4844
35,30,2800,58,1246,6535,1045,4865
35,31,2772,76,1249,6488,1100,4829
35,32,2758,79,1251,6449,1118,4794
35,33,2793,69,1254,6546,1076,4850
35,34,2772,89,1262,6512,1151,4815
40,0,2401,44,1069,5628,866,4160
40,1,2401,36,1060,5609,830,4155
40,2,2359,49,1059,5563,875,4101
40,3,2352,60,1061,5561,926,4088
40,4,2373,53,1065,5610,901,4114
40,5,2359,59,1065,5546,910,4096
40,6,2394,46,1065,5624,880,4156
40,7,2366,57,1067,5591,913,4116
40,8,2359,47,1054,5576,884,4115
40,9,2387,56,1071,5620,907,4145
40,10,2387,46,1064,5590,872,4135
40,11,2380,50,1062,5644,901,4145
40,12,2359,54,1056,5562,893,4101
40,13,2380,48,1063,5595,879,4139
40,14,2359,62,1066,5589,932,4107
40,15,2352,65,1069,5565,948,4087
