num-db,db,tx-type,count,duration-ms,tx-per-sec
1,0,strong-read,5976,60615.39,98.5888
1,0,weak-read,2988,60615.39,49.2944
1,0,write,996,60615.39,16.4315
5,0,strong-read,6282,60392.47,104.0196
5,0,weak-read,3141,60392.47,52.0098
5,0,write,1047,60392.47,17.3366
5,1,strong-read,6282,60466.42,103.8924
5,1,weak-read,3141,60466.42,51.9462
5,1,write,1047,60466.42,17.3154
5,2,strong-read,6336,60469.34,104.7804
5,2,weak-read,3168,60469.34,52.3902
5,2,write,1056,60469.34,17.4634
5,3,strong-read,6276,60492.11,103.7491
5,3,weak-read,3138,60492.11,51.8745
5,3,write,1046,60492.11,17.2915
5,4,strong-read,6282,60623.36,103.6234
5,4,weak-read,3141,60623.36,51.8117
5,4,write,1047,60623.36,17.2706
10,0,strong-read,6654,60379.87,110.2023
10,0,weak-read,3327,60379.87,55.1011
10,0,write,1109,60379.87,18.3670
10,1,strong-read,6612,60443.14,109.3921
10,1,weak-read,3306,60443.14,54.6960
10,1,write,1102,60443.14,18.2320
10,2,strong-read,6594,60443.65,109.0933
10,2,weak-read,3297,60443.65,54.5467
10,2,write,1099,60443.65,18.1822
10,3,strong-read,6630,60505.91,109.5761
10,3,weak-read,3315,60505.91,54.7880
10,3,write,1105,60505.91,18.2627
10,4,strong-read,6618,60562.42,109.2757
10,4,weak-read,3309,60562.42,54.6378
10,4,write,1103,60562.42,18.2126
10,5,strong-read,6594,60620.10,108.7758
10,5,weak-read,3297,60620.10,54.3879
10,5,write,1099,60620.10,18.1293
10,6,strong-read,6594,60717.90,108.6006
10,6,weak-read,3297,60717.90,54.3003
10,6,write,1099,60717.90,18.1001
10,7,strong-read,6588,60734.82,108.4715
10,7,weak-read,3294,60734.82,54.2358
10,7,write,1098,60734.82,18.0786
10,8,strong-read,6624,60770.71,108.9999
10,8,weak-read,3312,60770.71,54.4999
10,8,write,1104,60770.71,18.1666
10,9,strong-read,6546,61090.50,107.1525
10,9,weak-read,3273,61090.50,53.5762
10,9,write,1091,61090.50,17.8587
15,0,strong-read,5604,60727.57,92.2810
15,0,weak-read,2802,60727.57,46.1405
15,0,write,934,60727.57,15.3802
15,1,strong-read,5652,60747.79,93.0404
15,1,weak-read,2826,60747.79,46.5202
15,1,write,942,60747.79,15.5067
15,2,strong-read,5652,60777.54,92.9949
15,2,weak-read,2826,60777.54,46.4974
15,2,write,942,60777.54,15.4991
15,3,strong-read,5610,60811.88,92.2517
15,3,weak-read,2805,60811.88,46.1259
15,3,write,935,60811.88,15.3753
15,4,strong-read,5496,60826.67,90.3551
15,4,weak-read,2748,60826.67,45.1776
15,4,write,916,60826.67,15.0592
15,5,strong-read,5538,60861.36,90.9937
15,5,weak-read,2769,60861.36,45.4968
15,5,write,923,60861.36,15.1656
15,6,strong-read,5598,60834.90,92.0195
15,6,weak-read,2799,60834.90,46.0098
15,6,write,933,60834.90,15.3366
15,7,strong-read,5532,60973.85,90.7274
15,7,weak-read,2766,60973.85,45.3637
15,7,write,922,60973.85,15.1212
15,8,strong-read,5598,60906.86,91.9108
15,8,weak-read,2799,60906.86,45.9554
15,8,write,933,60906.86,15.3185
15,9,strong-read,5658,60967.57,92.8034
15,9,weak-read,2829,60967.57,46.4017
15,9,write,943,60967.57,15.4672
15,10,strong-read,5586,61001.55,91.5714
15,10,weak-read,2793,61001.55,45.7857
15,10,write,931,61001.55,15.2619
15,11,strong-read,5562,61024.24,91.1441
15,11,weak-read,2781,61024.24,45.5721
15,11,write,927,61024.24,15.1907
15,12,strong-read,5556,61138.66,90.8754
15,12,weak-read,2778,61138.66,45.4377
15,12,write,926,61138.66,15.1459
15,13,strong-read,5580,61154.19,91.2448
15,13,weak-read,2790,61154.19,45.6224
15,13,write,930,61154.19,15.2075
15,14,strong-read,5586,61188.72,91.2913
15,14,weak-read,2793,61188.72,45.6457
15,14,write,931,61188.72,15.2152
20,0,strong-read,4674,60831.90,76.8347
20,0,weak-read,2337,60831.90,38.4173
20,0,write,779,60831.90,12.8058
20,1,strong-read,4554,60913.29,74.7620
